stem,status,motivo,rato,condicao,trial,n_segundos
r1_25_T1_240416_124853,DESCARTADO,Todos os canais identificados como ruins,,,,
r1_25_T2_240416_130351,DESCARTADO,Todos os canais identificados como ruins,,,,
r1_50_T1_240418_113900,OK,,R1,0.5,T1,201.0
r1_50_T2_240418_115409,OK,,R1,0.5,T2,195.0
r1_50_T3_240418_120842,OK,,R1,0.5,T3,185.0
r1_50_T4_240418_122708,OK,,R1,0.5,T4,194.0
r1_75_T1_240420_122202,DESCARTADO,Todos os canais identificados como ruins,,,,
r1_75_T2_240420_123826,DESCARTADO,Todos os canais identificados como ruins,,,,
r1_75_T3_240420_125313,DESCARTADO,Todos os canais identificados como ruins,,,,
r1_75_T4_240420_130736,OK,,R1,0.75,T4,189.0
r2_25_T1_240501_121558,OK,,R2,0.25,T1,181.0
r2_25_T2_240501_123234,OK,,R2,0.25,T2,205.0
r2_25_T3_240501_125210,OK,,R2,0.25,T3,203.0
r2_25_T4_240501_126886,OK,,R2,0.25,T4,196.0
r2_50_T1_240429_123406,OK,,R2,0.5,T1,186.0
r2_50_T2_240429_124937,OK,,R2,0.5,T2,179.0
r2_50_T3_240429_130415,OK,,R2,0.5,T3,180.0
r2_50_T4_240429_131900,OK,,R2,0.5,T4,181.0
r2_75_T1_240430_122132,OK,,R2,0.75,T1,184.0
r2_75_T2_240430_123635,OK,,R2,0.75,T2,226.0
r2_75_T3_240430_125208,OK,,R2,0.75,T3,205.0
r2_75_T4_240430_130851,OK,,R2,0.75,T4,190.0
R2NORT1_240428_125837 (1),OK,,R2,NOR,T1,209.0
R2NORT1_240428_125837,OK,,R2,NOR,T1,209.0
R2NORT2_240428_131343,OK,,R2,NOR,T2,209.0
R2NORT3_240428_132842,OK,,R2,NOR,T3,192.0
R2NORT4_240428_134346,OK,,R2,NOR,T4,191.0
r3_25_T1_240927_113124,OK,,R3,0.25,T1,187.0
r3_25_T2_240927_114615,OK,,R3,0.25,T2,264.0
r3_25_T3_240927_120253,OK,,R3,0.25,T3,189.0
r3_25_T4_240927_121754,OK,,R3,0.25,T4,188.0
r3_50_T1_240919_121617,OK,,R3,0.5,T1,185.0
r3_50_T2_240919_123150,OK,,R3,0.5,T2,181.0
r3_50_T3_240919_124503,OK,,R3,0.5,T3,262.0
r3_50_T4_240919_130121,OK,,R3,0.5,T4,165.0
r3_75_T1_240925_121417,OK,,R3,0.75,T1,223.0
r3_75_T2_240925_123414,OK,,R3,0.75,T2,179.0
r3_75_T3_240925_124820,OK,,R3,0.75,T3,180.0
r3_75_T4_240925_130337,OK,,R3,0.75,T4,217.0
R3NORT2_240916_121730,OK,,R3,NOR,T2,182.0
R3NORT3_240916_123200,OK,,R3,NOR,T3,202.0
R3NORT4_240916_124814,DESCARTADO,Todos os canais identificados como ruins,,,,
R3NORT2_240916_121730,OK,,R3,NOR,T2,182.0
R3NORT3_240916_123200,OK,,R3,NOR,T3,202.0
R3NORT4_240916_124814,DESCARTADO,Todos os canais identificados como ruins,,,,
r4_25_T1_240928_121623,OK,,R4,0.25,T1,186.0
r4_25_T2_240928_123122,OK,,R4,0.25,T2,183.0
r4_25_T3_240928_124607,OK,,R4,0.25,T3,182.0
r4_25_T4_240928_130143,OK,,R4,0.25,T4,182.0
r4_50_T1_241002_121434_241002_122154,OK,,R4,0.5,T1,184.0
r4_50_T2_241002_123715,OK,,R4,0.5,T2,190.0
r4_50_T3_241002_125251,OK,,R4,0.5,T3,183.0
r4_50_T4_241002_130805,OK,,R4,0.5,T4,182.0
r4_75_T1_240930_144731,OK,,R4,0.75,T1,186.0
r4_75_T2_240930_150247,OK,,R4,0.75,T2,417.0
r4_75_T3_240930_152142,OK,,R4,0.75,T3,185.0
R4NORT1_240926_121735,OK,,R4,NOR,T1,182.0
R4NORT2_240926_123150,OK,,R4,NOR,T2,181.0
R4NORT3_240926_124557,OK,,R4,NOR,T3,185.0
R4NORT4_240926_130032,OK,,R4,NOR,T4,192.0
r5_25_T1_241008_102751,OK,,R5,0.25,T1,227.0
r5_25_T2_241008_104420,OK,,R5,0.25,T2,5.0
r5_25_T2_241008_104436,OK,,R5,0.25,T2,232.0
r5_25_T3_241008_110216,OK,,R5,0.25,T3,219.0
r5_25_T4_241008_111919,OK,,R5,0.25,T4,230.0
r5_50_T1_241010_102422,OK,,R5,0.5,T1,197.0
r5_50_T2_241010_103902,OK,,R5,0.5,T2,190.0
r5_50_T3_241010_105350,OK,,R5,0.5,T3,191.0
r5_50_T4_241010_110833,OK,,R5,0.5,T4,196.0
r5_75_T1_241006_090722,OK,,R5,0.75,T1,235.0
r5_75_T2_241006_092445,OK,,R5,0.75,T2,8.0
r5_75_T2_241006_092509,OK,,R5,0.75,T2,212.0
r5_75_T3_241006_094105,OK,,R5,0.75,T3,212.0
r5_75_T4_241006_095659,OK,,R5,0.75,T4,230.0
R5NORT1_241003_120058,OK,,R5,NOR,T1,200.0
R5NORT2_241003_121631,OK,,R5,NOR,T2,237.0
R5NORT3_241003_123213,OK,,R5,NOR,T3,196.0
R5NORT4_241003_124723,OK,,R5,NOR,T4,195.0
r7_25_T1_241018_121221,OK,,R7,0.25,T1,222.0
r7_25_T2_241018_122841,OK,,R7,0.25,T2,212.0
r7_25_T3_241018_124513,OK,,R7,0.25,T3,231.0
r7_25_T4_241018_130136,OK,,R7,0.25,T4,297.0
r7_50_T1_241016_132739,OK,,R7,0.5,T1,209.0
r7_75_T1_241020_110327,OK,,R7,0.75,T1,279.0
r7_75_T2_241020_112120,OK,,R7,0.75,T2,257.0
r7_75_T3_241020_113728,OK,,R7,0.75,T3,195.0
r7_75_T3_241020_114555,OK,,R7,0.75,T3,3.0
r7_75_T4_241020_115308,OK,,R7,0.75,T4,238.0
R7NORT1_241014_122657,OK,,R7,NOR,T1,206.0
R7NORT2_241014_124518,OK,,R7,NOR,T2,246.0
R7NORT3_241014_130441,OK,,R7,NOR,T3,298.0
r8_25_T1_241110_131445,OK,,R8,0.25,T1,204.0
r8_25_T2_241110_132933,OK,,R8,0.25,T2,209.0
r8_25_T3_241110_134540,OK,,R8,0.25,T3,265.0
r8_25_T4_241110_140423,OK,,R8,0.25,T4,248.0
r8_75_T1_241112_124255,OK,,R8,0.75,T1,240.0
r8_75_T2_241112_125855,OK,,R8,0.75,T2,196.0
r8_75_T3_241112_131327,OK,,R8,0.75,T3,407.0
r8_75_T4_241112_133354,OK,,R8,0.75,T4,242.0
R8NORT1_241108_121043,OK,,R8,NOR,T1,211.0
R8NORT2_241108_122600,OK,,R8,NOR,T2,203.0
R8NORT3_241108_124108,OK,,R8,NOR,T3,233.0
R8NORT4_241108_125739,OK,,R8,NOR,T4,228.0
