,media,desvio_padrao
theta_gamma_lento_ratio_min_33pct,0.0870047765470432,0.0064169883967067735
mean_mean_66pct,0.07258200506640677,0.01416769767711493
pot_delta_min_33pct,0.06704926296873107,0.03171423234296081
delta_theta_ratio_mean_33pct,0.06649099100443209,0.030007253580627745
entropia_espectral_std_99pct,0.06325080980407322,0.029198980787210647
centroide_hz_std_99pct,0.055624040376011465,0.025941517595596077
pot_theta_mean_99pct,0.05472029698127029,0.024996990129988298
pot_gamma_lento_mean_33pct,0.05378196880323288,0.024524905449732057
theta_gamma_rapido_ratio_std_99pct,0.051033730556815315,0.03627574623887281
kurtosis_min_99pct,0.046582146089462075,0.032375697219296534
std_min_33pct,0.043792969378109885,0.029989651680560774
entropia_espectral_max_99pct,0.0395078627847264,0.027152034043803168
skewness_std_99pct,0.03230290212357408,0.040959093133392674
theta_gamma_rapido_ratio_mean_99pct,0.031174205645808688,0.030136720205708598
pot_theta_min_33pct,0.02756457718497384,0.03468896287149026
pac_theta-gamma_lento_min_66pct,0.02432046547753729,0.030533128551880107
mean_median_33pct,0.023978248682454042,0.03003447386178993
mean_std_33pct,0.020737559405904164,0.0366550145466222
mean_media_geral,0.01706552334939552,0.029146385218423464
skewness_mean_66pct,0.017020051539062907,0.02907818008889585
kurtosis_median_33pct,0.016494588605738537,0.02817113343603733
skewness_mean_99pct,0.01639375586161072,0.029416650237504803
pot_delta_min_99pct,0.015287271091180414,0.026150460829082636
skewness_mean_33pct,0.013992118197843944,0.023938569010326677
skewness_max_33pct,0.011689552601251768,0.030927649120520363
entropia_espectral_std_33pct,0.009477419281995374,0.02507489449084809
centroide_hz_std_33pct,0.00886620918395806,0.023457784572629956
skewness_max_66pct,0.006618387936611117,0.017510608560422934
theta_gamma_lento_ratio_min_99pct,0.005596303470784948,0.014806427244944591
